Lng,Lat,Naam,beschrijving
Lng,Lat,Naam,beschrijving
4.8901224014,52.3884006574,Petemayenbrug (317),zoutkeetsgracht_hoek_bokkinghang
4.885728943,52.3881485637,Zoutkeetsbrug (318),planciusstraat_hoek_korte_zoutke
4.8872148868,52.3869208144,Drieharingenbrug (320),realengracht_hoek_vierwindendwar
4.8859006044,52.3856799343,Sloterdijkerbrug (321),prinseneiland_hoek_galgenstraat
4.8373418924,52.3762412288,Camera Obscurabrug (322),leeuwendalersweg
4.9017095443,52.4181719534,Brug no. 323,pandorinastraat
4.8698395368,52.3754045003,Beltbrug (324),tweede_hugo_de_grootstraat
4.905786502,52.3590908592,Brug no. 325,mauritskade
4.9187254783,52.3674113888,Brug no. 327,oud_entrepotdok
4.9322974559,52.366530273,Brug no. 328,zeeburgerpad
4.8359095928,52.4071383146,Brug no. 330,nieuwe_hemweg5
4.8347401496,52.4061598131,Brug no. 331,westhavenweg2
4.9325603124,52.3672476139,Brug no. 332,cruquiuskade
4.9420446035,52.3477344116,Brug no. 333,teslastraat
4.9501395103,52.3469299132,Heinz Stuybrug (334),park_de_meer11
4.9391102668,52.3536145062,Brug no. 335,Galil
4.9410199996,52.3548857751,Brug no. 336,archimedesweg
4.9410199996,52.3548857751,Brug no. 337,galileiplantsoen
4.9438524123,52.3532606413,Brug no. 338,joh_v_d_waalstraat
4.9882858869,52.3779424733,Brug no. 339,kerkepad_in_durgerdam
4.9131357547,52.3485454491,Schollenbrug (340),schollenbrugstraat
4.9452739831,52.3445097758,Brug no. 341,zaaiersweg
4.9504721042,52.3620703785,Brug no. 342,flevopark2
4.9941491958,52.3932589081,Brug no. 343,dorpsweg_te_ransdorp
4.9942403909,52.3938841563,Brug no. 344,ransdorp
4.8840981599,52.3884595881,IJszeebrug (345),houtmankade1
4.8855358239,52.3904500925,Westerkeersluis (346),tasmanstraat
4.8801606771,52.3851339687,Een Honderd Roebrug (347),haarlemmerweg_hoek_de_wittenkade
4.852351534,52.350967004,Zeilstraatbrug (348),zeilstraat_hoek_schinkelkade
4.8845273134,52.3893762789,Noordpoolbrug (349),houtmankade2
4.9048852798,52.3589205013,Torontobrug (350),stadhouderskade_hoek_weesperzijd
4.9636256572,52.4065263446,Postje van Gerrit Vreling (351),zunderdorpergouw2
4.9341267225,52.3684922874,Jaap Hannisbrug (352),cruquiusweg
4.9252968904,52.3672312364,Dageraadsbrug (353),hoogte_kadijk_hoek_nieuwe_vaart
4.9263805028,52.3661797871,Oosterbeerbrug (354),zeeburgerstraat_hoek_funenkade
4.9331772205,52.356781143,Evert van der Wallbrug (355),linnaeuskade_ringdijk
4.9000680324,52.401548455,Langebrug (356),klaprozenweg
4.9139082309,52.3867358305,Gerben Wagenaarbrug (357),kraaienplein
4.8580753681,52.3647679888,Machineslootbrug (358),machineslootbrug
4.856508958,52.3711223637,Molenslootbrug (359),admiralengracht_JEverts
4.8534834262,52.3547956735,Theophile de Bockbrug (360),schinkelhavenstraat_hoek_schinke
4.8518097278,52.3997401082,Brug no. 361,nieuwe_hemweg
4.9330484744,52.3906808935,Brug no. 362,nieuwendammerkade
4.8965704318,52.4163544724,Brug no. 363,zuideinde
4.9156892177,52.4013275298,Buiksloter Kerkepadbrug (364),kerkepad
4.9235695478,52.3972263012,Passagebrug (366),schoolpad
4.9235695478,52.3953212114,Brug no. 367,buiksloterdijk6
4.9383914348,52.3911555869,Brug no. 368,nieuwendammerdijk
4.9060225364,52.3888737383,Brug no. 371,grasweg
4.8985069867,52.4196703782,Molenpadsbrug (372),adriaan_loosjesstraat
4.9594467755,52.4028592556,Brug no. 373,zunderdorpergouw1
4.9659860011,52.4059634556,Los Postje (374),zunderdorp
4.9648702022,52.4079793505,Bakkersbrug (375),middenlaan_te_zunderdorp
